 ,Area,Mean,Min,Max
1003,295,255,255,255
1004,139,255,255,255
1005,184,255,255,255
1006,214,255,255,255
1007,246,255,255,255
1008,494,255,255,255
1009,271,255,255,255
1010,116,255,255,255
1011,242,255,255,255
1012,418,255,255,255
1013,261,255,255,255
1014,381,255,255,255
1015,240,255,255,255
1016,226,255,255,255
1017,387,255,255,255
1018,211,255,255,255
1019,224,255,255,255
1020,245,255,255,255
1021,414,255,255,255
1022,213,255,255,255
1023,777,255,255,255
1024,146,255,255,255
1025,111,255,255,255
1026,337,255,255,255
1027,198,255,255,255
1028,124,255,255,255
1029,119,255,255,255
1030,279,255,255,255
1031,427,255,255,255
1032,139,255,255,255
1033,173,255,255,255
1034,256,255,255,255
1035,222,255,255,255
1036,472,255,255,255
1037,130,255,255,255
1038,185,255,255,255
1039,254,255,255,255
1040,90,255,255,255
1041,183,255,255,255
1042,391,255,255,255
1043,329,255,255,255
1044,489,255,255,255
1045,276,255,255,255
1046,239,255,255,255
1047,346,255,255,255
1048,402,255,255,255
1049,152,255,255,255
1050,221,255,255,255
1051,226,255,255,255
1052,171,255,255,255
1053,562,255,255,255
1054,299,255,255,255
1055,139,255,255,255
1056,332,255,255,255
1057,388,255,255,255
1058,307,255,255,255
1059,142,255,255,255
1060,181,255,255,255
1061,158,255,255,255
1062,646,255,255,255
1063,302,255,255,255
1064,159,255,255,255
1065,400,255,255,255
1066,129,255,255,255
1067,162,255,255,255
1068,208,255,255,255
1069,294,255,255,255
1070,129,255,255,255
1071,441,255,255,255
1072,469,255,255,255
1073,276,255,255,255
1074,375,255,255,255
1075,88,255,255,255
1076,202,255,255,255
1077,320,255,255,255
1078,173,255,255,255
1079,151,255,255,255
1080,184,255,255,255
1081,202,255,255,255
1082,165,255,255,255
1083,276,255,255,255
1084,89,255,255,255
1085,315,255,255,255
1086,362,255,255,255
1087,207,255,255,255
1088,245,255,255,255
1089,584,255,255,255
1090,224,255,255,255
1091,118,255,255,255
1092,302,255,255,255
1093,333,255,255,255
1094,268,255,255,255
1095,180,255,255,255
1096,182,255,255,255
1097,291,255,255,255
1098,299,255,255,255
1099,115,255,255,255
1100,129,255,255,255
1101,145,255,255,255
1102,167,255,255,255
1103,237,255,255,255
1104,263,255,255,255
1105,97,255,255,255
1106,85,255,255,255
1107,213,255,255,255
1108,329,255,255,255
1109,287,255,255,255
1110,430,255,255,255
1111,388,255,255,255
1112,281,255,255,255
1113,320,255,255,255
1114,180,255,255,255
1115,215,255,255,255
1116,180,255,255,255
1117,204,255,255,255
1118,126,255,255,255
1119,169,255,255,255
1120,220,255,255,255
1121,176,255,255,255
1122,302,255,255,255
1123,222,255,255,255
1124,290,255,255,255
1125,80,255,255,255
1126,295,255,255,255
1127,377,255,255,255
1128,331,255,255,255
1129,106,255,255,255
1130,220,255,255,255
1131,164,255,255,255
1132,120,255,255,255
1133,538,255,255,255
1134,726,255,255,255
1135,268,255,255,255
1136,266,255,255,255
1137,238,255,255,255
1138,192,255,255,255
1139,209,255,255,255
1140,566,255,255,255
1141,348,255,255,255
1142,530,255,255,255
1143,372,255,255,255
1144,247,255,255,255
1145,421,255,255,255
1146,533,255,255,255
1147,173,255,255,255
1148,257,255,255,255
1149,351,255,255,255
1150,402,255,255,255
1151,228,255,255,255
1152,302,255,255,255
1153,204,255,255,255
1154,435,255,255,255
1155,131,255,255,255
1156,410,255,255,255
1157,230,255,255,255
1158,217,255,255,255
1159,411,255,255,255
1160,239,255,255,255
1161,227,255,255,255
1162,178,255,255,255
1163,172,255,255,255
1164,433,255,255,255
1165,247,255,255,255
1166,258,255,255,255
1167,212,255,255,255
1168,276,255,255,255
1169,241,255,255,255
1170,71,255,255,255
1171,371,255,255,255
1172,196,255,255,255
1173,270,255,255,255
1174,130,255,255,255
1175,301,255,255,255
1176,230,255,255,255
1177,81,255,255,255
1178,245,255,255,255
1179,282,255,255,255
1180,221,255,255,255
1181,88,255,255,255
1182,279,255,255,255
1183,78,255,255,255
1184,140,255,255,255
1185,330,255,255,255
1186,197,255,255,255
1187,139,255,255,255
1188,257,255,255,255
1189,366,255,255,255
1190,244,255,255,255
1191,191,255,255,255
1192,197,255,255,255
1193,407,255,255,255
1194,180,255,255,255
1195,197,255,255,255
1196,219,255,255,255
1197,585,255,255,255
1198,185,255,255,255
1199,387,255,255,255
1200,315,255,255,255
1201,236,255,255,255
1202,357,255,255,255
1203,248,255,255,255
1204,184,255,255,255
1205,470,255,255,255
1206,391,255,255,255
1207,433,255,255,255
1208,182,255,255,255
1209,199,255,255,255
1210,368,255,255,255
1211,213,255,255,255
1212,448,255,255,255
1213,265,255,255,255
1214,328,255,255,255
1215,106,255,255,255
1216,326,255,255,255
1217,336,255,255,255
1218,89,255,255,255
1219,317,255,255,255
1220,413,255,255,255
1221,395,255,255,255
1222,309,255,255,255
1223,216,255,255,255
1224,487,255,255,255
1225,363,255,255,255
1226,287,255,255,255
1227,163,255,255,255
1228,450,255,255,255
1229,141,255,255,255
1230,265,255,255,255
1231,222,255,255,255
1232,232,255,255,255
1233,241,255,255,255
1234,460,255,255,255
1235,186,255,255,255
1236,364,255,255,255
1237,302,255,255,255
1238,291,255,255,255
1239,180,255,255,255
1240,320,255,255,255
1241,365,255,255,255
1242,729,255,255,255
1243,438,255,255,255
1244,422,255,255,255
1245,297,255,255,255
1246,355,255,255,255
1247,336,255,255,255
1248,216,255,255,255
1249,358,255,255,255
1250,392,255,255,255
1251,356,255,255,255
1252,450,255,255,255
1253,325,255,255,255
1254,284,255,255,255
1255,634,255,255,255
1256,276,255,255,255
1257,223,255,255,255
1258,284,255,255,255
1259,370,255,255,255
1260,337,255,255,255
1261,528,255,255,255
1262,482,255,255,255
1263,98,255,255,255
1264,244,255,255,255
1265,413,255,255,255
1266,480,255,255,255
1267,488,255,255,255
1268,414,255,255,255
1269,583,255,255,255
1270,413,255,255,255
1271,376,255,255,255
1272,424,255,255,255
1273,481,255,255,255
1274,476,255,255,255
1275,497,255,255,255
1276,134,255,255,255
1277,672,255,255,255
